,timestamp,open,high,low,close,adjusted close,volume,dividend amount
208,2005-03-31,44.99,45.11,38.83,41.67,1.2723,524140000,0.0
209,2005-02-28,77.05,90.88,43.96,44.86,1.3697,383016900,0.0
210,2005-01-31,64.78,77.89,62.6,76.9,1.174,459075800,0.0
211,2004-12-31,67.79,67.95,61.6,64.4,0.9832,284796700,0.0
212,2004-11-30,52.5,69.57,52.04,67.05,1.0236,311421500,0.0
213,2004-10-29,39.15,53.2,37.65,52.4,0.8,287399400,0.0
214,2004-09-30,34.3,39.27,34.19,38.75,0.5916,137026900,0.0
215,2004-08-31,31.18,35.18,29.7,34.49,0.5265,143060100,0.0
216,2004-07-30,32.08,33.63,28.74,32.34,0.4937,173153200,0.0
217,2004-06-30,27.79,34.19,27.61,32.54,0.4968,146914900,0.0
218,2004-05-28,26.0,28.78,25.5,28.06,0.4284,94719200,0.0
219,2004-04-30,26.9,29.58,25.49,25.78,0.3936,159467400,0.0
220,2004-03-31,24.09,28.14,23.6,27.04,0.4128,207609200,0.0
221,2004-02-27,22.46,24.1,21.7,23.92,0.3652,87893400,0.0
222,2004-01-30,21.55,24.84,21.18,22.56,0.3444,141567900,0.0
223,2003-12-31,21.04,21.9,19.25,21.37,0.3262,97390600,0.0
224,2003-11-28,22.83,23.3,19.85,20.91,0.3192,88823300,0.0
225,2003-10-31,20.75,25.011,20.19,22.89,0.3494,125717700,0.0
226,2003-09-30,22.66,23.32,20.149,20.72,0.3163,95490800,0.0
227,2003-08-29,21.0,22.85,19.42,22.61,0.3452,76920800,0.0
228,2003-07-31,18.87,21.57,18.51,21.08,0.3218,93183400,0.0
229,2003-06-30,18.1,19.69,16.63,19.06,0.291,109166700,0.0
230,2003-05-30,14.25,19.0,14.0,17.95,0.274,193063300,0.0
231,2003-04-30,14.2,14.95,12.72,14.22,0.2171,138845400,0.0
232,2003-03-31,15.01,15.16,14.04,14.14,0.2159,71935800,0.0
233,2003-02-28,14.41,15.3,13.8,15.01,0.2291,73469700,0.0
234,2003-01-31,14.36,15.38,13.56,14.36,0.2192,107961300,0.0
